title,popular_rank,startYear,episodes,language,origin_country,plot,summary,rating,genres,cast,image_url,imdb_id
13 Geboden,1442,2017,13,Turkish,Belgium,A serial killer reverts to the 10 commandments in order to kick society a conscience with his crimes.,A serial killer reverts to the 10 commandments in order to kick society a conscience with his crimes.,7,Crime.Mystery.Thriller,"['Dirk van Dijck', 'Marie Vinck', 'Karlijn Sileghem', 'Line Pillet', 'Hans De Munter', 'Lola Rose Delany', 'Ella Leyers', 'Katelijne Verbeke', 'Kim Hertogs', 'Karen van Parijs', 'Leo Achten', 'Gökhan Girginol', 'Jeroen Perceval', 'Bert Haelvoet', 'Koen van Impe', 'Ludo Hoogmartens', 'Joke Sluydts', 'Tom Ternest']",https://m.media-amazon.com/images/M/MV5BOTQzNzEyZjUtMzk5Yi00MzFjLWI2ZTQtMjBhYWFlN2MxNTA3XkEyXkFqcGdeQXVyMjYzNTc5MjU@._V1_FMjpg_UX1000_.jpg,tt5203748
13 Reasons Why,159,2017,49,English,United States,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","Thirteen Reasons Why, based on the best-selling books by Jay Asher, follows teenager Clay Jensen (Dylan Minnette) as he returns home from school to find a mysterious box with his name on it lying on his porch. Inside he discovers a group of cassette tapes recorded by Hannah Baker (Katherine Langford) -his classmate and crush-who tragically committed suicide two weeks earlier. On tape, Hannah unfolds an emotional audio diary, detailing the thirteen reasons why she decided to end her life. Through Hannah and Clay's dual narratives, Thirteen Reasons Why weaves an intricate and heartrending story of confusion and desperation that will deeply affect viewers. —Studio",7.6,Drama.Mystery.Thriller,"['Dylan Minnette', 'Katherine Langford', 'Christian Navarro', 'Alisha Boe', 'Brandon Flynn', 'Justin Prentice', 'Ross Butler', 'Devin Druid', 'Amy Hargreaves', 'Miles Heizer', 'Timothy Granaderos', 'Michael Sadler', 'Josh Hamilton', 'Caleb Pilkenton', 'Derek Luke', 'Kate Walsh', 'Mark Pellegrino', 'Steven Weber']",https://m.media-amazon.com/images/M/MV5BMDYzZTRlNGEtZDc2Mi00ZGNjLTlmZDAtMmVjMDZkOThiODEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,tt1837492
2 Weeks,3022,2013,16,Korean,South Korea,"Jang Tae San is a man who has been living a meaningless life and never thinks toward his future. He is on the run after being falsely accused of murder. Furthermore, he discovers that he has a daughter who is now sufferi... Read all","Jang Tae San is a man who has been living a meaningless life and never thinks toward his future. He is on the run after being falsely accused of murder. Furthermore, he discovers that he has a daughter who is now suffering from leukemia. The drama spans exactly two weeks, and tells about Tae San's desperate struggles to save his daughter. —DramaWiki",8.1,Crime.Drama,"['Lee Joon-Gi', 'Ha-seon Park', 'Soo-young Ryu', 'Kim So-yeon', 'Min-Ki Jo', 'Kim Hye-Ok', 'Chae-mi Lee', 'Jae-rim Song', 'Eom Hyo-Seob', 'Ho-jin Chun', 'Hyo-seo Kim', 'Pub-lae Kim', 'Joo-hyung Park', 'Im She-mi', 'Kim Young-choon', 'Hee-seok Yun']",https://m.media-amazon.com/images/M/MV5BZjcwOTBhYTEtYTVmYy00MTFmLWFiMDgtMzMyMmZiZjQ0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt2964526
21 Sarfarosh Saragarhi 1897,3741,2018,3,Hindi,India,A chronicle of the lives and events that led to the brave and epic last stand of the 21 soldiers of the 36th Sikh regiment of the British Indian Army against thousands of Afghani invaders in the September of 1897.,A chronicle of the lives and events that led to the brave and epic last stand of the 21 soldiers of the 36th Sikh regiment of the British Indian Army against thousands of Afghani invaders in the September of 1897.,8.2,War,"['Harry Chauhan', 'Paras Raajj Ganndhhi', 'Sooraj Ohri', 'Mohit Raina', 'Jashan Singh Kohli', ""Alexx O'Nell"", 'Mukul Dev', 'Prakhar Shukla', 'Gaurav Vasudev', 'Shakku Rana', 'Balraj Singh Khehra', 'Sascha Maximus', 'Danny Sura', 'Bhawsheel Sahni', 'Vikram Sharmaa', 'Pippa Hughes', 'Sameksha', 'Kamaljeet Rana']",https://m.media-amazon.com/images/M/MV5BNzY3YjAwYmItM2VhYS00Nzg4LTgwZmMtZWZjYmE0NzQ1ZjYxXkEyXkFqcGdeQXVyNzEwNDkxMTU@._V1_FMjpg_UX1000_.jpg,tt8062474
21 Thunder,3239,2017,8,English,Canada,"In the cutthroat world of pro soccer, a club lives and dies by the stars on its under-21 team. They are the future and lifeblood of any franchise, but most will never make it. 21 THUNDER is the story of the Montreal Thun... Read all","In the cutthroat world of pro soccer, a club lives and dies by the stars on its under-21 team. They are the future and lifeblood of any franchise, but most will never make it. 21 THUNDER is the story of the Montreal Thunder U21 team, following the team's star players on and off the field. A story of love, crime, race, sex and athletic glory, at its core the series is about how a group of players and coaches unite as family in the whirlwind of life, one step away from the pros.",6.2,Drama,"['Stephanie Bennett', 'Emmanuel Kabongo', 'Andres Joseph', 'Kevin Claydon', 'Jonathan Kim', 'Clark Backo', 'Ryan Pierce', 'Eileen Li', 'Kyle Mac', 'Chris Cavener', 'Colm Feore', 'RJ Fetherstonhaugh', 'Baba Kourouma', 'Kimberly Laferriere', 'Tristan D. Lalla', 'Conrad Pla', 'Cristina Rosato', 'Rj Copan']",https://m.media-amazon.com/images/M/MV5BOTdhZGNmOTktZGU5OC00YmYwLTgxNTAtOWM4MDI1ZDU0ZTY5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt6145878
2gether,1757,2020,14,Thai,Thailand,"A student named Tine wants to get rid of a gay admirer. His friends recommend getting a pretend boyfriend, Sarawat, who plays hard to get, until he finally agrees. The two become close and intense emotions soon erupted.","Tine is a very handsome student and cheerleader in college, while Sarawat is one of the campus' most popular guys and is also in the soccer and music club. When Tine is chased by Green, who he does not reciprocate feelings for - he ends up begging Sarawat to fake date with him in order to chase Green away. Somehow, just like the tale as old as time goes - pretend somehow starts to turn into reality. However, before a ""happily ever after"" there is the process of falling in love, and the slow realization that somehow they aren't pretending anymore. Somehow, they do not want to.",7.8,Comedy.Drama.Romance,"['Vachirawit Chivaaree', 'Metawin Opas-Iamkajorn', 'Chinnarat Siriphongchawalit', 'Sivakorn Lertchoochot', 'Pluem Pongpisal', 'Thanawat Rattanakitpaisan', 'Chayakorn Jutamas', 'Sattabut Laedeke', 'Korawit Boonsri', 'Thanatsaran Samthonglai', 'Jirakit Kuariyakul', 'Chanagun Arpornsutinan', 'Pornnappan Pornpenpipat', 'Pattranite Limpatiyakorn', 'Rachanun Mahawan', 'Phakjira Kanrattanasoot', 'Chalongrat Novsamrong', 'Sarocha Burin']",https://m.media-amazon.com/images/M/MV5BZjhjMjY2MmMtYjQwZC00OTE0LWE5M2EtNzQ1YmJmOGViZWNmXkEyXkFqcGdeQXVyNTgzNTM3MzA@._V1_FMjpg_UX1000_.jpg,tt12048276
3Below: Tales of Arcadia,1409,2018,27,English,United States,A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,7.7,Action.Adventure.Animation,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Frank Welker', 'Steve Alterman', 'Mitch Carter', 'Glenn Close', 'Cole Sand', 'Julie Falls', 'Alon Aboutboul', 'Nick Frost', 'Fred Tatasciore', 'Steven Yeun', 'Laraine Newman', 'Charlie Saxton', 'Hayley Atwell', 'Cheryl Hines', 'Tom Kenny']",https://m.media-amazon.com/images/M/MV5BODJlOGUwN2MtY2VmYi00M2VjLTg4ZDYtNzA2NmFmYWY0ZjhmXkEyXkFqcGdeQXVyNTM0NjIxMzA@._V1_FMjpg_UX1000_.jpg,tt7736544
3rd Rock from the Sun,279,1996,139,English,United States,"A group of aliens are sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun.","A group of aliens has come to Earth to learn about its population, customs, et cetera. To avoid detection, they have taken on human form, which gives them human emotions, physical needs, et cetera, without the understanding of what they mean nor the inhibitions normally present in humans. Their leader takes the position of a college professor, their military expert as his sister, their intelligence expert, supposedly the oldest of group, takes the form of his teenage son. The uninhibited reactions turn everyday events into unusual situations. —Jim Brawn <jim_brawn@amuc.mtroyal.ab.ca>",7.7,Comedy.Family.Sci-Fi,"['John Lithgow', 'Jane Curtin', 'Kristen Johnston', 'French Stewart', 'Joseph Gordon-Levitt', 'Simbi Kali', 'Elmarie Wendel', 'Wayne Knight', 'Ian Lithgow', 'David DeLuise', 'Danielle Nicolet', 'Chris Hogan', 'Ileen Getz', 'Shay Astar', 'Larisa Oleynik', 'Ron West', 'Jan Hooks', 'Chad Einbinder']",https://m.media-amazon.com/images/M/MV5BMGMwZWU4ZjAtNTA3MC00ZDFkLWE3YzQtZjdiMTk3ZDJiMDM0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg,tt0115082
44 Gatti,3309,2018,80,Italian,Italy,"44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.","44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.",6.1,Adventure.Animation.Comedy,"['Judith Cabral', 'Sarah Natochenny', 'Keira Johnson', 'Joy Salaretti', 'Erica Schroeder', 'Francesco Prando', 'Alan Marriott', 'Alyson Leigh Rosenfeld', 'Eric Lutts', 'Katherine D. May', 'Elisabeth Tsong', 'Chris Phillips', 'Michela Alborghetti', 'Henry F. Benjamin', 'Marc Thompson', 'Suzy Myers Jackson', 'Laurie Hymes', 'Wanda Walsh']",https://m.media-amazon.com/images/M/MV5BM2E4ODI5MzMtYTAyNy00MDAzLWE4NzItNzI3ZGQ0NWExYTUwXkEyXkFqcGdeQXVyOTMwNTUwNTk@._V1_FMjpg_UX1000_.jpg,tt9699148
45 Revoluciones,3598,2019,13,Spanish,Spain,The birth of a music label and three characters fighting for their dreams inside the complex inside the music industry.,"In the 60s, a new music genre that was already revolutionizing the world, pop, made its arrival to Spain. Maribel Campoy, a 19-year-old girl developed at the Music Conservatory, sees herself in charge of a new musical brand that will change the rules of the game. Alonside her boss, Guillermo Rojas, and Roberto, a young singer uncovered on the scenarios of the ""Matinales"" of El Price, Maribel will shed light to a new way of understanding the musical panorama. Three characters that will see themselves involved in a love triangle in an age and social frame where the police charged against anyone who tried to revolutionize the country. —Antena 3",7.3,Drama.Music,"['Carlos Cuevas', 'Guiomar Puerta', 'Iván Marcos', 'Israel Elejalde', 'Luis Larrodera', 'Diana Gómez', 'Silvana Navas', 'Eudald Font', 'Carmen Gutiérrez', 'Vito Sanz', 'Pau Vinyals', 'Pere Ponce', 'Nikola Zalduegui', 'Héctor Black', 'Marina San José', 'Joan Pera', 'Kimberley Tell', 'Joseba Apaolaza']",https://m.media-amazon.com/images/M/MV5BYjMxYzdkZjEtZDBhZC00YzRlLWI0YzctODdlOWU1MGY2ZjdjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_FMjpg_UX1000_.jpg,tt8987918
46 Yok Olan,2745,2016,13,Turkish,Turkey,A genetic professor (Murat Güney) wants to save his sister from a long-time coma by using a medicine he has just discovered. But this discovery changes his life in an unexpected way.,A genetic professor (Murat Güney) wants to save his sister from a long-time coma by using a medicine he has just discovered. But this discovery changes his life in an unexpected way.,8.4,Action.Crime.Drama,"['Erdal Besikçioglu', 'Yasemin Kay Allen', 'Melis Birkan', 'Saygin Soysal', 'Berkan Sal', 'Metin Belgin', 'Ayça Eren', 'Selin Uludogan', 'Özay Fecht', 'Buse Kara', 'Suna Yildizoglu', 'Mert Asutay', 'Aytek Sayan', 'Sedat Mert', 'Seda Alpat', 'Adem Aydil', 'Hakter Balaban', 'Cemal Doker']",https://m.media-amazon.com/images/M/MV5BOTNhY2VhZTMtMGM0ZC00OTEzLThlODEtODM4Nzk5ODBkODBhXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_FMjpg_UX1000_.jpg,tt5606154
50M2,1493,2021,8,Turkish,Turkey,"After being betrayed by his boss, a hitman hides out in a vacant tailor shop, where he's mistaken for the late owner's son, an identity he decides to embrace.","After being betrayed by his boss, a hitman hides out in a vacant tailor shop, where he's mistaken for the late owner's son, an identity he decides to embrace.",7,Comedy.Drama.Thriller,"['Engin Öztürk', 'Kürsat Alniaçik', 'Cengiz Bozkurt', 'Aybüke Pusat', 'Tolga Tekin', 'Tugce Karabacak', 'Tuncay Beyazit', 'Enver Ceylan', 'Özgür Emre Yildirim', 'Yigit Kirazci', 'Jolene Andersen', 'Hasan Yalnizoglu', 'Bartu Mutlu', 'Erman Tinmaz', 'Murat Kiliç', 'Gürkan Uygun', 'Oguz Kara', 'Muharrem Bayrak']",https://m.media-amazon.com/images/M/MV5BOWM4NTE0ZGItNjc4My00M2EyLWI5YzctZTQ0ZTY1ZGVlYzRmXkEyXkFqcGdeQXVyMTAxOTI3NjI2._V1_FMjpg_UX1000_.jpg,tt11617848
"60 Il, Jijeongsaengjonja",2277,2019,16,Korean,South Korea,"When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu Jin must find a way to lead Korea through the ensuing chaos.","Park Mu Jin is a former professor of chemistry and now holds the Minister of Environment position. He doesn't have ambition, personal beliefs or political sense. One day, the cabinet is gathered in the National Assembly for the president's address. A terror attack takes place, killing many government officials, including the President and ministers. Park Mu Jin is the highest ranking government official left alive. He doesn't want the position, but he must sit as the acting president for 60 days. Park Mu Jin chases after the person or group responsible for the attack as he grows as a national leader. —AsianWiki",8.1,Drama.Thriller,"['Jin-hee Ji', 'Joon-ho Huh', 'Kang Han-na', 'Lee Joon-hyuk', 'Sukku Son', 'Chong-ok Bae', 'Yoon-young Choi', 'Gyu-ri Kim', 'Keun-rok Park', 'Moo-Saeng Lee', 'Kim Joo-Heon', 'Baek Hyun-joo', 'Sung-woo Jeon', 'Jin-geun Kim', 'Jeong-hwan Kong', 'Do-yub Lee', 'Hye-Won Oh', 'Nae-sang Ahn']",https://m.media-amazon.com/images/M/MV5BMTZmZWIzNGItZGQ1YS00NmM3LTgzYTctNzEzMjIyMjViNTUwXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_FMjpg_UX1000_.jpg,tt10405394
7 Days Out,4782,2018,6,English,United States,A series that documents behind the scenes of some of the largest events in the world.,A series that documents behind the scenes of some of the largest events in the world.,6.8,Documentary,"['Frank Bruni', 'Emmy', 'Kevin Flanery', 'Matthew Haag', 'Karl Lagerfeld', 'Julie Webster', 'Brandon Beck', 'Morgan Cable', 'Keith Desormeaux', 'Robin Givhan', 'Mike Gowen', 'Daniel Humm', 'Rick Fox', 'Phyllis Gowen', 'Will Guidara', 'Dale Romans', 'Linda J. Spilker', 'Olivia Douchez']",https://m.media-amazon.com/images/M/MV5BMmRjODE3N2EtMGZhOC00N2I1LTkyMGItYTljYjQyMjdjZDU3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,tt9315990
7 Ilui Wangbi,2915,2017,20,Korean,South Korea,"Kyung is the daughter of a powerful politician during the Joseon Dynasty. She falls in love with Crown Prince Lee Yuk, who lives under the tyranny of his half-brother, King Yeon San Gun. When Lee Yuk rises to the throne ... Read all","Kyung is the daughter of a powerful politician during the Joseon Dynasty. She falls in love with Crown Prince Lee Yuk, who lives under the tyranny of his half-brother, King Yeon San Gun. When Lee Yuk rises to the throne and becomes King Jung Jong, Chae Kyung becomes Queen Dan Kyung, who becomes caught in the cross-fires of different political factions as well as the jealousies between the brothers When Dan Kyung's own father stages a coup against the king, Queen Dan Kyung is dethroned only after seven days and expelled from the palace. What will happen to the love between the king and queen when they can no longer be together? —Zahra Salahi",7.8,Drama.Romance,"['Hyun-Sung Jang', 'Do Ji-Won', 'Dong-geon Lee', 'Eun-seo Son', 'Park Min-Young', 'Woo-jin Yeon', 'Hwang Chan-sung', 'Seung-hwan Baek', 'Si-Eun Park', 'Kim Jeong-yeong', 'Yoo-An Jung', 'Kang Ki-Young', 'Kim Min-Ho', 'Park Sang-won', 'Kang Shin-il', 'Ko Bo-Gyeol', 'Yoo Min-Kyu']",https://m.media-amazon.com/images/M/MV5BMDc3OTZlODAtYzEwMC00MmMxLWI4ZDYtMjRiMjgyZWQ4ZjU4XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,tt6788748
